Brand,Screen Size,Color,RAM,Storage,GPU,CPU,Price
Lenovo,15.6,Black,8,512.0,NVIDIA GeForce,AMD Ryzen,59990.0
ASUS,17.0,Black,16,512.0,NVIDIA GeForce,Intel Core,50990.0
DELL,14.0,Blue,16,512.0,Integrated,AMD Ryzen,65990.0
HP,15.6,Silver,16,512.0,NVIDIA GeForce,Intel Core,89990.0
HP,15.6,Silver,8,512.0,Integrated,AMD Ryen,32990.0
acer,16.0,Black,16,512.0,NVIDIA GeForce,Intel Core,115990.0
ASUS,16.0,Gray,16,1000.0,NVIDIA GeForce,Intel Core,159990.0
Apple,15.3,Blue,16,512.0,Integrated,M4,136490.0
Lenovo,15.6,Grey,16,512.0,Integrated,AMD Ryzen,41990.0
SAMSUNG,15.6,Gray,16,512.0,Integrated,Intel Core,114990.0
Apple,15.3,Silver,16,512.0,Integrated,M4,136490.0
Lenovo,15.6,Grey,8,512.0,Integrated,Intel Celeron,24990.0
ASUS,14.0,Black,16,512.0,Integrated,AMD Ryzen,39990.0
ASUS,16.0,Gray,16,1000.0,NVIDIA GeForce,Intel Core,189990.0
SAMSUNG,15.6,Gray,16,512.0,Integrated,Intel Core,72990.0
Lenovo,15.6,Grey,16,512.0,NVIDIA GeForce,Intel Core,79490.0
Apple,13.6,Silver,24,512.0,Integrated,M3,109994.0
Apple,15.3,Silver,16,512.0,Integrated,M4,136490.0
ASUS,14.0,Gray,16,1000.0,NVIDIA GeForce,AMD Ryzen,184990.0
Apple,15.3,Blue,24,512.0,Integrated,M4,155490.0
ASUS,14.0,Silver,8,512.0,Integrated,AMD Ryzen,35990.0
ASUS,16.0,Silver,16,512.0,Integrated,Intel Core,53990.0
HP,16.1,Blue,16,1000.0,Integrated,AMD Ryzen,78990.0
ASUS,16.0,Gray,32,1000.0,NVIDIA GeForce,Intel Core,179990.0
acer,15.6,Black,16,512.0,NVIDIA GeForce,AMD Ryzen,85990.0
DELL,16.0,Silver,16,1000.0,NVIDIA GeForce,Intel Core,132399.0
MSI,15.6,Black,16,512.0,NVIDIA GeForce,Intel Core,114990.0
MSI,15.6,Black,16,512.0,NVIDIA GeForce,Intel Core,119990.0
HP,15.6,Silver,16,512.0,Integrated,AMD Ryzen,42990.0
MSI,16.0,Gray,16,1000.0,NVIDIA GeForce,Intel Core,158990.0
HP,15.6,Blue,16,1000.0,NVIDIA GeForce,AMD Ryzen,84990.0
Lenovo,15.6,Grey,24,512.0,NVIDIA GeForce,Intel Core,87990.0
Lenovo,15.6,gray,16,1000.0,NVIDIA GeForce,Intel Core,196290.0
acer,14.0,Silver,8,512.0,Integrated,Intel Core,41990.0
Apple,14.2,Black,16,1000.0,Integrated,M4,178990.0
Apple,13.6,Silver,8,256.0,Integrated,M2,74994.0
Lenovo,15.6,Grey,24,512.0,NVIDIA GeForce,AMD Ryzen,68490.0
Apple,13.6,Silver,8,256.0,Integrated,M3,85994.0
Dell,14.0,Grey,16,512.0,Integrated,Intel Core,95999.0
HP,15.6,Silver,24,1000.0,NVIDIA GeForce,AMD Ryzen,101990.0
HP,14.0,Silver,16,512.0,Integrated,Intel Core,61990.0
Lenovo,14.0,Grey,8,512.0,Integrated,Intel Core,53990.0
Apple,16.2,Black,36,1000.0,Integrated,M4,328990.0
DELL,16.0,Silver,16,1000.0,NVIDIA GeForce,Intel Core,137599.0
HP,14.0,Gray,16,1000.0,Integrated,Intel Core,172999.0
Lenovo,15.6,Grey,8,256.0,Integrated,Intel Celeron,25990.0
Lenovo,14.0,Silver,16,1000.0,Integrated,Intel Core,82990.0
Dell,14.0,Blue,16,512.0,Integrated,Intel Core,79490.0
MSI,15.6,Black,16,512.0,Integrated,Intel Core,49990.0
DELL,16.0,Silver,16,1000.0,NVIDIA GeForce,m1,176990.0
HP,15.6,Blue,8,512.0,NVIDIA GeForce,Intel Core,55990.0
acer,14.0,Gold,8,512.0,Integrated,AMD Ryzen,28990.0
DELL,15.6,Silver,8,512.0,Integrated,Intel Core,52990.0
Lenovo,14.0,Grey,16,1000.0,Intel Iris Xe,Intel Core,83990.0
Lenovo,15.6,Grey,16,512.0,NVIDIA GeForce,Intel Core,70990.0
Lenovo,16.0,Grey,16,1000.0,Intel Iris Xe,Intel Core,72990.0
Lenovo,16.0,Grey,16,1000.0,Integrated,Intel Core,65490.0
ASUS,14.0,Blue,16,512.0,Integrated,Intel Core,69990.0
ASUS,14.0,Gray,16,512.0,Integrated,Intel Core,86990.0
HP,15.6,Blue,16,512.0,NVIDIA GeForce,Intel Core,66990.0
ASUS,15.6,Grey,16,512.0,NVIDIA GeForce,Intel Core,74990.0
Lenovo,14.0,Grey,16,1000.0,Intel Iris Xe,Intel Core,85990.0
Apple,14.2,Black,24,1000.0,Integrated,M4,197490.0
Lenovo,14.5,Blue,32,1000.0,Integrated,Intel Core,105990.0
ASUS,16.0,Gray,32,1000.0,NVIDIA GeForce,Intel Core,219990.0
Dell,15.6,Gray,16,1000.0,NVIDIA GeForce,Intel Core,130490.0
Apple,16.2,Silver,48,1000.0,Integrated,M4,375990.0
Lenovo,14.0,Grey,8,512.0,Integrated,AMD Ryzen,32990.0
Avita,14.1,Black,4,128.0,Integrated,Intel Celeron,16984.0
Apple,16.2,Black,24,512.0,Integrated,M4 Pro,234990.0
Lenovo,15.6,Grey,8,512.0,Integrated,Intel Core,34790.0
HP,15.6,Silver,8,512.0,Radeon Graphics,AMD Ryzen,39490.0
HP,15.6,Silver,16,512.0,NVIDIA GeForce,Intel Core,59990.0
Acer,14.0,Silver,16,512.0,Integrated,AMD Ryzen,49999.0
Apple,13.6,Silver,8,256.0,Integrated,M3,85994.0
MSI,15.6,Black,16,1000.0,NVIDIA GeForce,Intel Core,125990.0
ASUS,15.6,Gray,16,512.0,NVIDIA GeForce,Intel Core,69990.0
Lenovo,15.6,Grey,16,512.0,NVIDIA GeForce,Intel Core,78990.0
MSI,15.6,Black,16,512.0,NVIDIA GeForce,AMD Ryzen,138790.0
MSI,16.0,Gray,32,1000.0,NVIDIA GeForce,Intel Core,229990.0
Apple,16.2,Black,48,512.0,Integrated,M4 Pro,272990.0
Apple,15.3,Silver,24,512.0,Integrated,M4,155490.0
HP,14.0,Silver,8,512.0,Integrated,Intel Core,68999.0
DELL,13.4,Silver,16,512.0,Integrated,Intel Core,168899.0
DELL,15.6,Black,16,512.0,Integrated,AMD Ryzen,47990.0
ASUS,14.0,Silver,16,512.0,Integrated,Intel Core,99990.0
DELL,15.6,Gray,8,512.0,NVIDIA GeForce,Intel Core,73990.0
ASUS,16.0,Gray,32,2000.0,NVIDIA GeForce,Intel Core,359990.0
Apple,14.2,Grey,16,1000.0,Integrated,M3,149994.0
DELL,15.6,Black,8,512.0,Integrated,AMD Ryzen,39990.0
Apple,15.3,Silver,16,512.0,Integrated,M4,136490.0
ASUS,16.0,Black,32,2000.0,NVIDIA GeForce,Intel Core,424990.0
HP,13.3,Silver,16,512.0,Integrated,AMD Ryzen,93999.0
ASUS,13.3,Blue,16,1000.0,Integrated,Intel Core,105990.0
Apple,14.2,Silver,16,512.0,Integrated,M4,159990.0
MSI,16.0,Gray,16,1000.0,NVIDIA GeForce,AMD Ryzen,199990.0
Lenovo,15.6,Grey,8,512.0,Radeon 610M,AMD Ryzen,42990.0
Lenovo,14.0,Grey,24,1000.0,Integrated,AMD Ryzen,85990.0
Apple,16.2,Silver,36,512.0,Integrated,M3 Pro,239994.0
Apple,13.6,Silver,8,256.0,Integrated,M2,74994.0
MSI,15.6,Black,16,1000.0,NVIDIA GeForce,Intel Core,117990.0
acer,14.0,Silver,16,512.0,Integrated,Intel Core,79990.0
Apple,14.2,Black,24,1000.0,Integrated,M4 Pro,225990.0
HP,16.0,Blue,32,1000.0,Integrated,Intel Core,211999.0
SAMSUNG,15.9,Gray,16,512.0,Integrated,Intel Core,163990.0
ASUS,16.0,Gray,16,1000.0,NVIDIA GeForce,AMD Ryzen,229990.0
Apple,13.6,Silver,16,256.0,Integrated,M3,85994.0
Lenovo,15.6,Grey,8,512.0,Integrated,AMD Ryzen,37990.0
Lenovo,15.6,Grey,8,256.0,Integrated,Intel Celeron,40490.0
Apple,13.6,Grey,8,512.0,Integrated,M2,89994.0
Lenovo,15.6,Grey,16,512.0,Integrated,AMD Ryzen,46490.0
SAMSUNG,15.6,Gray,16,512.0,Integrated,Intel Core,87990.0
